PlaythroughID,RecordType,CompletionStatus,Order,Name,FromNode,FromNodeEnterTimestamp,ToNode,ToNodeEnterTimestamp,Weight,TravelTime,DecisionTime,DecisionEnterTimestamp,DecisionExitTimestamp,ToDecisionNodeAndEnd,ExitEnterTimestamp,FinalTotalWeight,FinalTravelTime,FinalDecisionTime
1,Path,Completed,1,4001,S2,2026-07-28 11:54:56.360,L1_2,2026-07-28 11:55:04.026,6.000,7.680,,,,Blue L1_2,,,,
1,Path,Completed,2,2002,L1_2,2026-07-28 11:55:07.273,L2_0,2026-07-28 11:55:26.502,3.000,19.240,,,,Red E0,2026-07-28 11:55:40.464,,,
1,Decision,Completed,1,Blue L1_2,,,,,,,3.120,2026-07-28 11:55:04.156,2026-07-28 11:55:07.273,,,,,
1,Decision,Completed,2,Blue L2_0,,,,,,,3.080,2026-07-28 11:55:26.726,2026-07-28 11:55:29.802,,,,,
1,Summary,Completed,,,,,,,,,,,,,,0.000,26.920,6.200
2,Path,Completed,1,3001,S1,2026-07-28 11:55:50.468,L1_1,2026-07-28 11:56:00.685,2.000,10.220,,,,Blue L1_2,,,,
2,Path,Completed,2,4002,L1_1,2026-07-28 11:56:03.632,L2_2,2026-07-28 11:56:15.383,5.000,11.760,,,,Blue L2_2,,,,
2,Path,Completed,3,4003,L2_2,2026-07-28 11:56:19.468,E0,2026-07-28 11:56:47.302,7.000,27.840,,,,Red E0,2026-07-28 11:56:47.423,,,
2,Decision,Completed,1,Blue L1_2,,,,,,,2.780,2026-07-28 11:56:00.845,2026-07-28 11:56:03.632,,,,,
2,Decision,Completed,2,Blue L2_2,,,,,,,3.940,2026-07-28 11:56:15.523,2026-07-28 11:56:19.468,,,,,
2,Summary,Completed,,,,,,,,,,,,,,0.000,49.820,6.720
3,Path,Completed,1,4001,S2,2026-07-28 11:57:02.051,L1_2,2026-07-28 11:57:09.631,6.000,7.580,,,,Blue L1_2,,,,
3,Path,Completed,2,6002,L1_2,2026-07-28 11:57:12.390,L2_2,2026-07-28 11:57:27.634,5.000,15.240,,,,Blue L2_2,,,,
3,Path,Completed,3,5003,L2_2,2026-07-28 11:57:30.589,E1,2026-07-28 11:57:48.886,7.000,18.300,,,,Red E1,2026-07-28 11:57:49.204,,,
3,Decision,Completed,1,Blue L1_2,,,,,,,2.640,2026-07-28 11:57:09.753,2026-07-28 11:57:12.390,,,,,
3,Decision,Completed,2,Blue L2_2,,,,,,,2.740,2026-07-28 11:57:27.843,2026-07-28 11:57:30.589,,,,,
3,Summary,Completed,,,,,,,,,,,,,,0.000,41.120,5.380
4,Path,Completed,1,2001,S1,2026-07-28 11:57:57.740,L1_0,2026-07-28 11:58:11.684,6.000,13.960,,,,Blue L1_0,,,,
4,Path,Completed,2,7002,L1_0,2026-07-28 11:58:14.365,L2_3,2026-07-28 11:58:39.061,6.000,24.700,,,,Blue L2_3,,,,
4,Path,Completed,3,8003,L2_3,2026-07-28 11:58:44.525,E1,2026-07-28 11:58:56.145,9.000,11.620,,,,Red E1,2026-07-28 11:58:56.304,,,
4,Decision,Completed,1,Blue L1_0,,,,,,,2.520,2026-07-28 11:58:11.851,2026-07-28 11:58:14.365,,,,,
4,Decision,Completed,2,Blue L2_3,,,,,,,5.220,2026-07-28 11:58:39.304,2026-07-28 11:58:44.525,,,,,
4,Summary,Completed,,,,,,,,,,,,,,0.000,50.280,7.740
5,Path,Completed,1,5002,L1_3,2026-07-28 11:59:33.868,L2_2,2026-07-28 11:59:44.086,6.000,10.220,,,,Blue L2_2,,,,
5,Path,Completed,2,5003,L2_2,2026-07-28 11:59:47.361,E1,2026-07-28 12:00:05.502,7.000,18.140,,,,Red E1,2026-07-28 12:00:05.803,,,
5,Decision,Completed,1,Blue L1_3,,,,,,,3.300,2026-07-28 11:59:30.576,2026-07-28 11:59:33.868,,,,,
5,Decision,Completed,2,Blue L2_2,,,,,,,2.880,2026-07-28 11:59:44.494,2026-07-28 11:59:47.361,,,,,
5,Summary,Completed,,,,,,,,,,,,,,0.000,28.360,6.180
6,Path,Completed,1,1002,L1_0,2026-07-28 12:00:30.752,L2_0,2026-07-28 12:00:38.284,1.000,7.540,,,,Red E0,2026-07-28 12:01:05.723,,,
6,Decision,Completed,1,Blue L1_0,,,,,,,2.720,2026-07-28 12:00:28.037,2026-07-28 12:00:30.752,,,,,
6,Decision,Completed,2,Blue L2_0,,,,,,,2.880,2026-07-28 12:00:38.488,2026-07-28 12:00:41.368,,,,,
6,Summary,Completed,,,,,,,,,,,,,,0.000,7.540,5.600
7,Path,Completed,1,2001,S1,2026-07-28 12:01:14.116,L1_0,2026-07-28 12:01:27.971,6.000,13.860,,,,Blue L1_0,,,,
7,Path,Completed,2,1002,L1_0,2026-07-28 12:01:31.430,L2_0,2026-07-28 12:01:39.295,1.000,7.860,,,,Red E0,2026-07-28 12:01:54.323,,,
7,Decision,Completed,1,Blue L1_0,,,,,,,3.280,2026-07-28 12:01:28.148,2026-07-28 12:01:31.430,,,,,
7,Decision,Completed,2,Blue L2_0,,,,,,,3.740,2026-07-28 12:01:39.585,2026-07-28 12:01:43.335,,,,,
7,Summary,Completed,,,,,,,,,,,,,,0.000,21.720,7.020
